Time,Price
2019/2/19,146.61 
2019/2/18,148.98 
2019/2/17,136.19 
2019/2/16,124.68 
2019/2/15,123.75 
2019/2/14,122.58 
2019/2/13,123.85 
2019/2/12,124.75 
2019/2/11,122.68 
2019/2/10,127.31 
2019/2/9,121.01 
2019/2/8,121.34 
2019/2/7,105.71 
2019/2/6,106.10 
2019/2/5,108.68 
2019/2/4,108.46 
2019/2/3,108.52 
2019/2/2,112.70 
2019/2/1,109.02 
2019/1/31,108.45 
2019/1/30,110.62 
2019/1/29,106.30 
2019/1/28,107.54 
2019/1/27,113.40 
2019/1/26,117.31 
2019/1/25,117.27 
2019/1/24,119.05 
2019/1/23,118.76 
2019/1/22,120.19 
2019/1/21,117.50 
2019/1/20,119.04 
2019/1/19,126.00 
2019/1/18,121.82 
2019/1/17,125.25 
2019/1/16,124.35 
2019/1/15,122.70 
2019/1/14,131.45 
2019/1/13,117.93 
2019/1/12,127.41 
2019/1/11,128.75 
2019/1/10,129.50 
2019/1/9,152.65 
2019/1/8,152.85 
2019/1/7,154.87 
2019/1/6,160.84 
2019/1/5,158.32 
2019/1/4,158.67 
2019/1/3,152.42 
2019/1/2,159.36 
2019/1/1,144.84 
2018/12/31,136.00 
2018/12/30,144.20 
2018/12/29,139.82 
2018/12/28,142.49 
2018/12/27,118.68 
2018/12/26,134.64 
2018/12/25,133.00 
2018/12/24,142.78 
2018/12/23,133.76 
2018/12/22,120.64 
2018/12/21,111.37 
2018/12/20,118.47 
2018/12/19,102.41 
2018/12/18,104.03 
2018/12/17,97.33 
2018/12/16,86.56 
2018/12/15,85.74 
2018/12/14,85.20 
2018/12/13,87.90 
2018/12/12,91.89 
2018/12/11,89.14 
2018/12/10,92.20 
2018/12/9,96.03 
2018/12/8,92.74 
2018/12/7,94.78 
2018/12/6,91.81 
2018/12/5,102.42 
2018/12/4,110.77 
2018/12/3,109.22 
2018/12/2,116.88 
2018/12/1,119.75 
2018/11/30,113.68 
2018/11/29,118.43 
2018/11/28,124.06 
2018/11/27,111.77 
2018/11/26,110.47 
2018/11/25,118.83 
2018/11/24,115.33 
2018/11/23,125.24 
2018/11/22,127.42 
2018/11/21,138.31 
2018/11/20,134.65 
2018/11/19,151.40 
2018/11/18,178.95 
2018/11/17,175.90 
2018/11/16,177.26 
2018/11/15,184.27 
2018/11/14,185.90 
2018/11/13,210.14 
2018/11/12,212.71 
2018/11/11,212.99 
2018/11/10,213.20 
2018/11/9,211.01 
